state,year,tavg
Arizona,1963,76.7
Arizona,1963,73.9
Arizona,1963,64.6
Arizona,1963,50.3
Arizona,1963,41.1
Arizona,1964,37.4
Arizona,1964,39.1
Arizona,1964,45.0
Arizona,1964,54.2
Arizona,1964,64.3
Arizona,1964,72.7
Arizona,1964,80.9
Arizona,1964,76.7
Arizona,1964,70.4
Arizona,1964,64.8
Arizona,1964,45.8
Arizona,1964,41.9
Arizona,1965,43.3
Arizona,1965,43.0
Arizona,1965,46.4
Arizona,1965,54.8
Arizona,1965,61.8
Arizona,1965,69.0
Arizona,1965,78.8
Arizona,1965,77.9
Arizona,1965,68.6
Arizona,1965,63.3
Arizona,1965,52.6
Arizona,1965,42.2
Arizona,1966,37.8
Arizona,1966,39.2
Arizona,1966,50.9
Arizona,1966,58.5
Arizona,1966,68.1
Arizona,1966,74.5
Arizona,1966,80.4
Arizona,1966,78.8
Arizona,1966,72.1
Arizona,1966,60.4
Arizona,1966,51.8
Arizona,1966,41.5
Arizona,1967,40.2
Arizona,1967,46.0
Arizona,1967,52.5
Arizona,1967,52.3
Arizona,1967,63.9
Arizona,1967,71.5
Arizona,1967,80.2
Arizona,1967,78.1
Arizona,1967,71.6
Arizona,1967,62.8
Arizona,1967,52.8
Arizona,1967,36.2
Arizona,1968,38.6
Arizona,1968,49.0
Arizona,1968,50.0
Arizona,1968,54.4
Arizona,1968,64.6
Arizona,1968,75.1
Arizona,1968,78.4
Arizona,1968,74.0
Arizona,1968,71.2
Arizona,1968,61.7
Arizona,1968,49.0
Arizona,1968,37.8
Arizona,1969,44.7
Arizona,1969,42.7
Arizona,1969,45.8
Arizona,1969,57.5
Arizona,1969,67.0
Arizona,1969,72.5
Arizona,1969,80.4
Arizona,1969,81.1
Arizona,1969,73.6
Arizona,1969,57.8
Arizona,1969,49.2
Arizona,1969,44.1
Arizona,1970,40.8
Arizona,1970,47.8
Arizona,1970,47.3
Arizona,1970,51.5
Arizona,1970,66.4
Arizona,1970,74.7
Arizona,1970,81.0
Arizona,1970,79.3
Arizona,1970,69.6
Arizona,1970,57.1
Arizona,1970,50.4
Arizona,1970,41.6
Arizona,1971,41.0
Arizona,1971,44.1
Arizona,1971,50.6
Arizona,1971,55.4
Arizona,1971,61.5
Arizona,1971,73.8
Arizona,1971,81.8
Arizona,1971,77.0
Arizona,1971,71.1
Arizona,1971,56.3
Arizona,1971,47.9
Arizona,1971,38.1
Arizona,1972,41.2
Arizona,1972,46.9
Arizona,1972,57.0
Arizona,1972,58.0
Arizona,1972,65.2
Arizona,1972,74.3
Arizona,1972,81.5
Arizona,1972,77.2
Arizona,1972,71.2
Arizona,1972,59.3
Arizona,1972,44.9
Arizona,1972,39.0
Arizona,1973,37.3
Arizona,1973,43.6
Arizona,1973,44.0
Arizona,1973,53.1
Arizona,1973,66.1
Arizona,1973,74.4
Arizona,1973,79.4
Arizona,1973,78.1
Arizona,1973,70.8
Arizona,1973,61.6
Arizona,1973,49.3
Arizona,1973,43.0
Arizona,1974,39.9
Arizona,1974,42.5
Arizona,1974,52.2
Arizona,1974,56.1
Arizona,1974,67.1
Arizona,1974,78.9
Arizona,1974,78.7
Arizona,1974,76.8
Arizona,1974,72.1
Arizona,1974,61.8
Arizona,1974,49.0
Arizona,1974,38.7
Arizona,1975,40.0
Arizona,1975,42.5
Arizona,1975,47.0
Arizona,1975,50.3
Arizona,1975,62.1
Arizona,1975,72.8
Arizona,1975,79.3
Arizona,1975,77.8
Arizona,1975,72.0
Arizona,1975,60.3
Arizona,1975,48.5
Arizona,1975,42.1
Arizona,1976,41.7
Arizona,1976,47.7
Arizona,1976,47.9
Arizona,1976,54.9
Arizona,1976,66.3
Arizona,1976,74.0
Arizona,1976,78.9
Arizona,1976,76.7
Arizona,1976,69.8
Arizona,1976,58.5
Arizona,1976,49.9
Arizona,1976,41.3
Arizona,1977,39.6
Arizona,1977,46.4
Arizona,1977,46.1
Arizona,1977,58.1
Arizona,1977,61.3
Arizona,1977,76.2
Arizona,1977,80.3
Arizona,1977,79.1
Arizona,1977,73.1
Arizona,1977,63.7
Arizona,1977,51.8
Arizona,1977,46.8
Arizona,1978,43.1
Arizona,1978,44.6
Arizona,1978,52.7
Arizona,1978,56.0
Arizona,1978,64.0
Arizona,1978,76.3
Arizona,1978,80.6
